Player,,WICKET,age
 Dwayne Bravo ,,183,38
 Lasith Malinga ,,170,38
Amit Mishra  ,,166,39
Yuzvendra Chahal ,,166,31
 Piyush Chawla ,,157,33
 Ravichandran Ashwin,,157,35
 Bhuvneshwar Kumar,,154,32
Sunil Narine  ,,152,34
Harbhajan Singh,,150,42
 Jasprit Bumrah ,,145,28
 Umesh Yadav ,,135,34
 Ravindra Jadeja ,,132,33
 Sandeep Sharma ,,114,29
 Rashid Khan ,,112,23
 Vinay Kumar ,,105,38
 Zaheer Khan ,,102,43
 Axar Patel ,,101,28
 Mohammad Shami ,,99,31
 Kagiso Rabada ,,99,27
 Dale Steyn ,,97,39
 Harshal Patel ,,97,31
 Chris Morris ,,95,35
 Mohit Sharma ,,92,33
 Shane Watson ,,92,41
 Trent Boult ,,92,32
 Jaydev Unadkat ,,91,30
 RP Singh ,,90,36
 Praveen Kumar ,,90,35
 Andre Russell ,,89,34
 Ashish Nehra ,,87,43
 Dhawal Kulkarni,,86,33
 Albie Morkel ,,85,41
 Pragyan Ojha ,,85,35
 Ishant Sharma ,,84,33
 Imran Tahir ,,82,43
 Shardul Thakur ,,82,30
 Irfan Pathan ,,80,37
 Morne Morkel ,,77,37
 Lakshmipathy Bal,,76,40
 Munaf Patel ,,74,38
 Mitchell McClena,,71,36
 Kieron Pollard ,,69,35
 Ashok Dinda ,,68,38
 Siddharth Trived,,65,39
 Jacques Kallis ,,65,46
 Shakib Al ,,63,35
 Muttiah Muralith,,63,50
 Mitchell Johnson,,61,40
 Rajat Bhatia ,,61,42
 Kuldeep Yadav ,,61,42
 Krunal Pandya ,,61,31
 Deepak Chahar ,,59,29
 James Faulkner ,,59,32
 Karn Sharma ,,59,34
 Mohammed Siraj ,,59,28
 Siddarth Kaul ,,58,32
 Shane Warne ,,57,52
 Rahul Chahar ,,57,22
 Hardik Pandya ,,50,28
 Prasidh Krishna ,,49,26
 Shreyas Gopal ,,49,28
 Jason Holder ,,49,30
 Shahbaz Nadeem ,,48,32
 Khaleel Ahmed ,,48,24
 Nathan Coulter-N,,48,34
 Shadab Jakati ,,47,41
 Avesh Khan ,,47,25
 Jofra Archer ,,46,27
 Mustafizur Rahman,,46,26
 Anil Kumble ,,45,41
 Ryan Harris ,,45,42
 Sreenath Aravind,,45,38
 Tim Southee ,,45,33
 Pat Cummins ,,45,29
 Varun Aaron ,,44,32
